title,day,url
Aikido Applied technique 05 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/07/18,https://www.youtube.com/watch?v=0N8vw91kcjg
Aikido Applied technique 06 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/07/24,https://www.youtube.com/watch?v=mOMM_Or6c2M
Aikido Applied technique 07 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/07/31,https://www.youtube.com/watch?v=T9rzXIlV0vg
Aikido - Shirakawa Ryuji sensei 【summer camp 2015】 白川竜次 先生,2015/08/06,https://www.youtube.com/watch?v=tock4srHlcI&t=60s
合気道-呼吸投げ Aikido-Kokyu Nage,2015/08/14,https://www.youtube.com/watch?v=Uh85t1Z5ueg
Aikido Applied technique 09 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/08/22,https://www.youtube.com/watch?v=IoIQptgKRYY
Aikido Applied technique 10 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/08/29,https://www.youtube.com/watch?v=LyEasVngtGw
Aikido Applied technique 11 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/09/05,https://www.youtube.com/watch?v=Wlmq7O4jFYw
Aikido - Shirakawa Ryuji sensei 白川竜次 先生,2015/09/10,https://www.youtube.com/watch?v=UID91FSiSwg
Aikido‐Shirakawa Ryuji sensei 01,2015/09/17,https://www.youtube.com/watch?v=6fcOx84Cn3c
Aikido Applied technique 12 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/10/04,https://www.youtube.com/watch?v=zpAfGW0iEHQ
柔らかな合気道　smooth and gentle AIKIDO,2015/10/23,https://www.youtube.com/watch?v=VLaF87AwvMA&t=70s
Aikido Memories of Shirakawa Ryuji sensei,2015/10/30,https://www.youtube.com/watch?v=MEvwVsrAp2o
Shirakawa Ryuji sensei in Hungary Aikido Seminar 2015,2015/11/01,https://www.youtube.com/watch?v=L7BVG65FMoo
Aikido Applied technique 13 - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/11/07,https://www.youtube.com/watch?v=aajNUmLtkLY
Dynamic Aikido - breath power -,2015/11/10,https://www.youtube.com/watch?v=HFloCIwjEE8
Aikido Demonstration - Shirakawa Ryuji sensei 合気道 白川竜次 先生,2015/11/19,https://www.youtube.com/watch?v=XRAamOAmfWg
柔らかな合気道02　smooth and gentle AIKIDO,2015/11/23,https://www.youtube.com/watch?v=boPoisL0MkM
Aikido Highlight - Shirakawa Ryuji sensei,2015/11/28,https://www.youtube.com/watch?v=UEkhp5oII1o
合気道 白川竜次 先生　Aikido Demonstration - Shirakawa Ryuji sensei,2015/12/13,https://www.youtube.com/watch?v=cV53yIn5_pI
躍動する合気道　Dynamic Aikido,2015/12/23,https://www.youtube.com/watch?v=Hcwyu8n_hBs
合気道 『呼吸投げ』 - Aikido 「kokyu nage」,2016/01/19,https://www.youtube.com/watch?v=Yf4WH0dtBU4
躍動する合気道　Dynamic Aikido 02,2016/02/14,https://www.youtube.com/watch?v=zUOYkdZkvXM
Aikido - Shirakawa Ryuji sensei in Hungary 合気道 白川竜次先生,2016/02/27,https://www.youtube.com/watch?v=Xv_s4XfiJFE
# ここまで(25/01/25 19:33)

ダイナミック合気道 しなやかな自由技 Dynamic Aikido - Shirakawa Ryuji sensei,2017/09/03,https://www.youtube.com/watch?v=COYlc6YgHjw&t=50s
白川竜次師範＆白川勝敏師範 - 第60回全日本合気道演武大会 (2023),2023/05/27,https://www.youtube.com/watch?v=cit17kEE6tg
